id,category,content_theme,representative_source,why_it_matters,possible_use_for_my_database
C001,定位,Work Less Earn More Enjoy Life,https://thedankoe.com/,"Simple aspirational promise connecting business, lifestyle, and freedom.","Use as example of a concise personal brand promise."
C002,定位,Author / Creator / Founder positioning,https://thedankoe.com/,"Combines credibility, creative identity, and product ecosystem in one homepage.","Use as profile template for one-person brand research."
C003,一人事業,One-Person Business Launchpad,https://letters.thedankoe.com/t/writing-strategies,"Recurring topic in Substack writing/marketing categories.","Track as productized education around starting from zero."
C004,寫作,Long-form writing as core asset,https://letters.thedankoe.com/t/writing-strategies,"Long-form content becomes the source for short-form, video, podcast, and product ideas.","Use for weekly essay-first content system."
C005,寫作,High-impact digital writing,https://2hourwriter.com/,"Writing is framed as the foundation of online authority, opportunity, and sales.","Use for studying how writing connects to distribution and monetization."
C006,內容系統,2-Hour Content Ecosystem,https://letters.thedankoe.com/p/how-to-build-a-world-the-2-hour-content,"Public preview frames content as a binge-worthy world/body of work.","Use as content repurposing model."
C007,定位,Point of view instead of niche,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/,"Differentiation comes from worldview, not just topic choice.","Use to build your own POV database."
C008,未來技能,Future-Proof Skill Stack,https://thedankoe.com/letters/the-future-proof-skill-stack-learn-in-this-order/,"Links AI era, education, entrepreneurship, writing, marketing, technical skills, and interests.","Use as skill audit table."
C009,創作者經濟,Holistic solution / productization,https://thedankoe.com/letters/the-future-of-the-creator-economy-my-bold-prediction/,"Turns personal transformation into an offer path.","Use for product/service ideation."
C010,AI,AI and human agency,https://thedankoe.com/letters/agi-will-make-you-irrelevant-how-to-future-proof-yourself/,"Keeps AI framed as leverage for creators rather than replacement panic.","Use for AI-era creator notes."
C011,書籍,The Art of Focus,https://theartoffocusbook.com/,"Connects attention, meaning, reinvention, ideal future, and one-person business philosophy.","Use as core philosophy reference."
C012,書籍,Purpose & Profit,https://thedankoe.com/wp-content/uploads/2025/03/Purpose-Profit-2.pdf,"Connects work, purpose, money, deep generalism, value creation, and creator identity.","Use as deeper theoretical base."
C013,產品,Eden,https://eden.so/,"Current software product for AI canvas, capture, agents, workspace, and creative work.","Track as product evolution from creator brand to software."
C014,產品,Kortex to Eden pivot,https://www.kortex.co/blog/kortex-to-eden-everything-you-need-to-know,"Shows public product pivot narrative, feature repositioning, and subscription transition.","Use as case study for transparent product migration."
C015,社群/課程,Modern Mastery HQ closure,https://www.modernmastery.co/,"Shows a creator retiring/merging a community product into a newer software ecosystem.","Use as offer lifecycle case study."
C016,Podcast,The Koe Cast,https://podcasts.apple.com/us/podcast/the-koe-cast/id1566479559,"Audio/video channel for repurposed and expanded ideas.","Track episodes that overlap with articles and product launches."
