id,framework,source_url,summary,how_to_use,risk_or_limit
F001,Future-Proof Skill Stack,https://thedankoe.com/letters/the-future-proof-skill-stack-learn-in-this-order/,"Entrepreneurship, marketing/sales, writing/thinking, technical know-how, and personal interests combine into a future-proof domain of mastery.","Use it to audit your own skill stack: what can you create, communicate, distribute, sell, and keep learning for years?","This is a philosophy/framework, not a guaranteed career path."
F002,Domain Of Mastery,https://thedankoe.com/letters/the-future-proof-skill-stack-learn-in-this-order/,"Mastery comes from specific domain knowledge plus a creative vessel for distribution.","Pick one domain you care about, then build public writing and products around the problems you solve in that domain.","Requires actual domain work; cannot be faked by content alone."
F003,Point Of View Over Niche,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/,"Creators should become a lens, not an information repository. Identity, goals, values, and lived experience create a defensible perspective.","Replace broad niche selection with a point-of-view map: what you believe, what you want, what you reject, what you are building.","Can become vague if not grounded in concrete problems and audience outcomes."
F004,Content Ecosystem,https://letters.thedankoe.com/p/how-to-build-a-world-the-2-hour-content,"One high-quality long-form piece becomes short-form posts, video, podcast, and product touchpoints across platforms.","Start with one weekly long-form essay; repurpose it into clips, posts, email, and sales assets.","Detailed process is paid; keep your notes based on public preview and your own testing."
F005,2 Hour Content Workflow,https://2hourwriter.com/,"Public course page describes reading/listening/watching around genuine interests, outlining a newsletter, turning it into tweets/threads/video/podcast/Instagram, and linking back to articles/products.","Use as a weekly operating system for one-person content: research, outline, publish, repurpose, link to offer.","Sales page includes self-reported revenue and student claims; treat claims as marketing data."
F006,Holistic Solution / Offer Path,https://thedankoe.com/letters/the-future-of-the-creator-economy-my-bold-prediction/,"Productization starts by identifying a desirable goal, the starting pain, and the unique path from A to B, then turning it into a holistic solution.","Use it to create an offer from your own transformation: pain, result, steps, proof, product/service format.","Needs proof and customer validation before selling hard."
F007,Consumer To Creator,https://thedankoe.com/wp-content/uploads/2025/03/Purpose-Profit-2.pdf,"Shift from consuming information to creating solutions, publishing them publicly, and helping like-minded people.","Turn your solved problems into posts, guides, templates, services, or software.","Avoid romanticizing creation; business still needs demand and execution."
F008,Deep Generalism,https://thedankoe.com/wp-content/uploads/2025/03/Purpose-Profit-2.pdf,"A creator builds a broad generalist stack around purpose, profit, learning, value creation, and self-monetization.","Use it for personal curriculum design: writing, design, marketing, selling, coding, AI, research, health/energy.","Too broad without sequencing; pick a 90-day focus."
F009,AI As Tool With Agency,https://thedankoe.com/letters/agi-will-make-you-irrelevant-how-to-future-proof-yourself/,"AI is a specialist tool that needs human agency, goals, judgment, and creative direction.","Use AI to accelerate research, drafting, synthesis, and systems, while keeping goal-setting and taste human-led.","Dan Koe's AGI view is interpretive, not technical consensus."
F010,Creative Partner / AI Workspace,https://eden.so/,"Eden productizes the idea of AI connected to your files, notes, media, agents, canvas, and workflows.","Use as inspiration for building your own knowledge base: capture everything, make it searchable, connect notes to projects.","Product positioning may change; verify current feature/pricing before purchase."

